Puntaje obtenido	Número de movimientos	Número de Singletons Finales	Jugada con mayor puntaje	Solución+(secuencia de Jugadas)	Matriz
					5  3  3  4  1  4  3  5  4  3  5  5  3  3  4  
					1  4  5  2  3  1  2  2  2  4  5  1  5  3  2  
					2  2  2  3  3  2  2  2  2  2  5  4  2  4  4  
					1  3  5  3  1  4  5  3  3  5  3  2  3  3  4  
					5  1  2  1  4  5  5  3  1  5  5  1  5  5  1  
					3  1  5  3  1  4  5  1  2  2  1  4  5  3  1  
					5  2  1  3  1  3  5  3  5  2  4  1  1  4  1  
					4  1  1  4  4  3  3  3  3  2  5  2  4  1  2  
					4  4  1  5  4  4  3  1  3  2  2  5  2  4  3  
					3  4  1  4  5  2  4  1  3  1  2  5  2  4  1  
					4  5  4  3  4  2  3  2  2  1  4  3  4  5  4  
					5  1  5  1  2  1  4  5  3  4  3  2  4  3  3  
					

708	55	40	210	[12,3][8,2][2,11][13,6][8,7][10,8][7,7][13,13][12,8][4,3][9,10][12,14][13,7][12,6][14,11][14,1][9,4][10,7][4,2][8,13][5,10][11,13][13,4][14,11][10,14][11,5][13,5][13,8][10,10][14,13][3,0][9,2][13,0][7,8][12,11][14,11][7,0][11,1][14,3][8,8][13,4][14,9][13,8][14,1][13,6][13,11][12,4][14,11][13,3][10,14][12,13][14,3][13,3][14,8][14,14]	3  5  1  5  5  5  1  5  4  1  5  1  1  2  2  
					4  4  3  2  1  4  1  4  1  2  5  4  3  5  5  
					3  4  4  3  5  3  4  4  1  1  2  2  1  3  1  
					3  4  4  2  1  2  5  3  4  3  5  2  5  2  5  
					5  2  2  3  2  5  5  3  2  4  4  5  4  4  1  
					5  5  1  2  3  3  2  2  5  5  2  3  1  1  3  
					2  3  4  3  5  2  2  3  1  3  2  3  3  1  5  
					1  1  1  1  2  1  5  2  4  5  5  1  4  2  4  
					2  5  3  5  2  2  4  2  2  5  1  5  1  2  4  
					5  5  1  3  3  3  2  3  3  1  2  3  1  5  5  
					5  2  3  5  3  1  3  1  1  4  5  1  3  4  4  
					3  1  5  4  2  1  5  2  2  4  2  2  4  4  3  
					4  3  1  4  2  3  4  2  2  5  3  2  1  2  3  
					4  5  1  3  1  1  4  5  3  3  1  2  2  2  1  
					2  5  3  5  2  1  5  3  3  4  4  4  3  2  5  
					

830	58	25	156	[13,14][4,1][8,7][10,12][10,4][4,8][6,0][9,12][5,1][11,1][3,10][9,7][8,6][9,11][10,6][14,0][10,1][7,9][10,13][7,13][14,7][11,7][7,11][7,13][10,10][11,13][13,13][7,10][11,0][12,3][8,2][12,8][10,0][13,1][14,11][12,3][11,6][14,12][13,7][11,9][12,10][13,4][14,3][12,3][13,11][10,9][13,12][14,10][11,3][14,0][14,3][12,12][14,10][12,13][13,7][14,2][14,6][14,11]	5  4  1  2  5  1  4  3  2  2  2  5  2  1  1  
					1  2  5  5  1  3  2  1  4  3  1  1  1  3  2  
					4  4  1  1  5  5  4  5  1  4  2  4  3  2  5  
					2  5  2  5  3  1  3  3  3  2  5  5  1  1  3  
					5  4  4  1  4  4  3  2  5  3  5  2  5  2  1  
					5  3  3  4  3  2  1  3  5  5  4  2  1  2  1  
					3  4  3  5  2  1  4  3  4  4  3  4  3  3  1  
					3  4  4  3  3  3  2  3  5  4  2  5  5  1  1  
					3  2  3  4  2  5  5  5  3  5  5  2  2  3  2  
					4  1  5  1  1  3  3  5  4  5  5  1  1  1  2  
					3  1  4  1  2  2  1  5  4  4  1  3  3  2  1  
					3  1  5  3  1  1  1  1  4  2  1  4  2  4  4  
					5  2  4  5  5  1  1  1  5  4  3  5  1  4  3  
					5  2  5  4  2  1  2  5  4  1  4  2  3  4  3  
					5  2  4  3  4  3  4  1  1  5  1  1  1  5  2  
					

814	60	28	210	[3,8][13,5][4,2][11,8][13,5][12,10][6,6][10,8][12,14][6,9][5,3][13,11][9,10][1,13][13,7][14,9][9,14][7,7][5,10][7,5][11,0][12,7][13,8][13,7][11,5][10,1][13,10][13,0][12,1][12,2][14,0][11,10][8,13][13,10][14,7][11,2][11,13][14,0][11,13][14,2][8,2][14,1][11,13][8,13][12,12][13,14][11,12][13,4][14,4][14,1][12,11][13,9][14,8][13,11][13,14][14,13][14,3][13,4][12,5][13,5]	4  3  1  3  3  3  5  4  2  2  4  5  5  2  3  
					5  2  3  1  2  5  4  2  5  2  2  4  3  2  2  
					2  3  1  4  1  2  3  2  1  3  2  3  1  1  1  
					4  2  5  1  2  3  2  1  1  1  4  5  3  4  2  
					4  4  4  2  3  2  1  2  5  1  4  2  5  4  5  
					3  4  4  1  4  2  2  3  5  3  4  1  4  5  2  
					3  3  1  3  2  5  2  1  4  4  2  1  3  4  1  
					5  3  3  3  3  2  1  5  4  4  3  2  5  1  4  
